"fdeliver_status","price","fpaymentmode","logisticr","cust_rating","shipment_hr","fnotify","fweather","fcust_avail","dist_warehouse","profit_pr","order_date","shipment_date","expected_delivery","remaining","ftracking","consignment_wt","empolyee_number"
"no",6064,"online",15,100,78,"yes","bad","yes",44,8.82917199455167,2018-01-02,2018-01-03,2018-01-10,68,"GPRS",2.84483037040832,408
"yes",11282,"cash",50,19,79,"yes","good","no",46,9.16117237684808,2018-05-25,2018-05-29,2018-06-03,55,"GPRS",2.63071132601504,375
"yes",2328,"debit",80,80,80,"no","good","yes",109,11.4341927441735,2018-05-13,2018-05-16,2018-05-23,30,"RFID",4.23700414504449,385
"yes",1026,"debit",70,82,81,"yes","good","yes",23,8.61897136127679,2018-08-31,2018-09-02,2018-09-06,77,"GPRS",2.93661475304353,397
"yes",7432,"cash",98,64,82,"yes","good","yes",46,5.21202184975646,2018-05-26,2018-05-30,2018-06-04,11,"RFID",3.01912450573059,374
"no",853,"cash",92,61,83,"no","good","yes",101,7.64667816490339,2018-03-12,2018-03-17,2018-03-18,55,"GPRS",2.61364957573254,387
"yes",8071,"online",66,62,84,"yes","good","no",8,5.26032751536539,2018-04-18,2018-04-19,2018-04-28,50,"GPRS",3.17795957140515,378
"yes",12445,"cash",18,71,85,"yes","good","yes",84,7.8693183801677,2018-06-17,2018-06-19,2018-06-25,51,"GPRS",2.16595413133074,404
"yes",5597,"cash",54,55,86,"yes","good","yes",190,9.42533482486025,2018-12-05,2018-12-09,2018-12-15,61,"RFID",3.94607474281626,406
"no",8975,"debit",89,71,87,"yes","good","no",189,11.3845934588998,2018-07-19,2018-07-23,2018-07-26,40,"GPRS",2.62255191805915,404
"yes",14064,"credit",34,77,88,"yes","good","no",37,13.4481662054331,2018-09-21,2018-09-22,2018-09-28,15,"GPRS",2.86428749180685,407
"yes",13385,"cash",33,63,89,"yes","good","yes",117,11.5663473446579,2018-01-30,2018-02-03,2018-02-07,27,"RFID",2.43884596452143,402
"yes",6256,"debit",25,8,90,"yes","good","yes",84,8.79478794862951,2018-02-13,2018-02-17,2018-02-20,16,"GPRS",3.63308169334862,374
"yes",1895,"online",25,67,91,"yes","good","yes",118,13.2120321656233,2018-10-24,2018-10-25,2018-11-01,19,"GPRS",2.40892548198151,406
"yes",14934,"credit",36,27,92,"no","good","yes",66,11.3952099336413,2018-04-27,2018-04-30,2018-05-04,83,"RFID",3.81405042503545,396
"yes",4645,"online",67,26,93,"no","good","yes",113,10.9049147829524,2018-03-15,2018-03-18,2018-03-21,42,"GPRS",3.53059045402344,405
"yes",13676,"cash",10,18,94,"yes","good","yes",152,6.44108234394265,2018-11-10,2018-11-14,2018-11-18,72,"GPRS",3.919988180014,388
"yes",8461,"online",15,39,95,"yes","good","yes",184,11.7815440362114,2018-06-16,2018-06-18,2018-06-26,98,"RFID",3.42475985523307,388
"yes",11347,"debit",17,78,96,"yes","good","yes",93,7.1453214350051,2018-10-02,2018-10-04,2018-10-12,29,"GPRS",3.83440804645911,407
"yes",6550,"online",31,11,97,"no","good","yes",36,13.3250138311937,2018-11-08,2018-11-13,2018-11-15,52,"GPRS",2.35568462394442,391
"yes",2623,"online",19,89,98,"yes","good","yes",98,10.9950465801167,2018-10-31,2018-11-02,2018-11-07,46,"GPRS",3.56976708870564,377
"yes",10726,"cash",93,86,99,"yes","good","yes",134,7.11422822868533,2018-03-03,2018-03-05,2018-03-10,75,"GPRS",2.22716910199048,406
"yes",10301,"credit",89,17,100,"yes","good","yes",11,11.7043502448258,2018-05-31,2018-06-01,2018-06-08,43,"RFID",3.96717153390829,374
"yes",13883,"debit",12,92,101,"yes","good","yes",12,7.06216025602118,2018-03-10,2018-03-13,2018-03-19,96,"RFID",2.80299418673767,406
"yes",13264,"credit",19,89,102,"yes","good","yes",129,11.9040915490562,2018-10-07,2018-10-08,2018-10-14,34,"RFID",3.55371245648497,386
"yes",3697,"debit",18,99,103,"yes","bad","no",132,10.8265026825333,2018-07-31,2018-08-04,2018-08-07,56,"GPRS",2.68863192077886,404
"yes",8886,"cash",14,20,104,"yes","good","yes",28,13.0585583256618,2018-01-11,2018-01-14,2018-01-20,17,"RFID",3.08888562352042,392
"yes",4194,"online",19,16,105,"yes","good","yes",25,8.28689026982499,2018-02-07,2018-02-12,2018-02-16,89,"RFID",2.48755092965532,374
"yes",1266,"cash",78,88,106,"yes","good","no",74,10.2750196220684,2018-09-02,2018-09-06,2018-09-12,87,"RFID",2.03033313989699,379
"yes",13318,"online",36,11,107,"no","good","yes",107,7.10223044252458,2018-06-20,2018-06-22,2018-06-26,54,"GPRS",2.6711615830849,374
"yes",14748,"cash",45,96,108,"yes","good","no",4,11.4466270272258,2018-03-08,2018-03-12,2018-03-15,98,"RFID",1.58886404717252,405
"yes",7746,"online",47,21,109,"no","good","no",19,8.00698217336875,2018-07-30,2018-08-01,2018-08-06,57,"GPRS",3.63331831625598,390
"yes",2967,"online",55,27,110,"yes","good","yes",7,9.77583140317121,2018-11-30,2018-12-03,2018-12-06,48,"GPRS",2.8605281775583,379
"yes",873,"debit",28,58,111,"yes","good","yes",125,8.56108856634144,2018-05-17,2018-05-19,2018-05-27,43,"GPRS",2.94385605945211,384
"no",4640,"debit",31,99,112,"yes","good","yes",23,13.4059276601008,2018-08-25,2018-08-27,2018-08-31,54,"GPRS",2.82222776853481,372
"no",3364,"cash",36,34,113,"no","good","yes",152,11.6413848066381,2018-03-13,2018-03-18,2018-03-22,99,"RFID",2.70870192659477,380
"yes",5338,"online",65,58,114,"yes","good","yes",50,9.65268251949613,2018-06-15,2018-06-17,2018-06-23,6,"GPRS",2.80520719622766,373
"no",13966,"debit",71,89,115,"yes","good","yes",140,5.96537932891305,2018-08-26,2018-08-29,2018-09-01,14,"GPRS",3.51391213658733,387
"yes",14765,"debit",52,48,116,"no","good","yes",134,9.57644957619235,2018-07-28,2018-08-01,2018-08-04,90,"GPRS",4.1342608677702,400
"yes",13081,"online",68,65,117,"no","good","yes",174,11.6449911959948,2018-03-14,2018-03-15,2018-03-20,85,"RFID",2.02816687705336,375
"yes",104,"online",91,86,118,"yes","good","yes",75,10.7402279658587,2018-09-01,2018-09-05,2018-09-11,52,"GPRS",3.04892554851086,370
"yes",12069,"online",99,22,119,"yes","good","yes",67,7.70275536662823,2018-08-20,2018-08-25,2018-08-26,17,"RFID",2.3888131933918,410
"yes",8396,"debit",66,71,120,"yes","good","no",69,11.146186367544,2018-09-17,2018-09-20,2018-09-26,86,"RFID",2.48298352584286,377
"yes",5397,"online",92,79,121,"yes","bad","yes",131,10.9463209194014,2018-11-21,2018-11-25,2018-12-01,78,"GPRS",2.7287476342398,403
"yes",7498,"online",27,11,122,"yes","good","no",59,10.1454883923964,2018-05-02,2018-05-06,2018-05-11,96,"GPRS",3.60256421586308,387
"yes",190,"cash",89,92,123,"yes","good","yes",89,7.10106850097288,2018-03-09,2018-03-10,2018-03-16,75,"GPRS",1.65393728464831,377
"yes",1570,"online",63,100,124,"yes","good","yes",89,9.42710843839602,2018-12-11,2018-12-13,2018-12-20,4,"GPRS",3.89194131127644,408
"yes",5330,"cash",41,41,125,"yes","good","yes",191,10.8054518682432,2018-09-15,2018-09-16,2018-09-21,95,"RFID",3.73697424677987,400
"no",12061,"debit",65,39,126,"yes","good","yes",167,13.7276945328339,2018-04-09,2018-04-14,2018-04-18,11,"RFID",2.66685395081119,383
"yes",3601,"cash",96,93,127,"yes","good","no",130,9.7109490930259,2018-04-28,2018-04-30,2018-05-05,14,"RFID",2.31419740704171,380
"yes",13186,"debit",87,46,128,"yes","good","yes",95,9.9331381595774,2018-09-15,2018-09-19,2018-09-25,3,"RFID",3.66976279644174,393
"yes",1143,"cash",92,93,129,"yes","good","yes",68,9.13758771586398,2018-10-01,2018-10-05,2018-10-09,73,"GPRS",3.24689785057615,377
"no",4191,"debit",96,91,130,"yes","good","yes",149,7.28240545684312,2018-04-18,2018-04-21,2018-04-28,79,"RFID",2.65898466901539,378
"yes",13174,"cash",28,79,131,"yes","good","yes",15,9.99722574520509,2018-10-22,2018-10-24,2018-10-28,31,"GPRS",2.78454125645043,396
"yes",6309,"credit",41,4,132,"no","good","yes",141,15.9074637917469,2018-10-14,2018-10-19,2018-10-22,67,"RFID",2.74646968518708,397
"yes",528,"online",19,76,133,"no","good","yes",158,8.44214282505297,2018-05-28,2018-05-30,2018-06-03,98,"RFID",3.05688350207559,374
"yes",587,"cash",40,61,134,"yes","good","yes",187,13.0998985141809,2018-06-29,2018-07-02,2018-07-05,86,"RFID",2.67823841131124,407
"yes",8568,"online",25,53,135,"yes","good","yes",113,9.48164747560299,2018-06-26,2018-06-28,2018-07-02,56,"GPRS",2.09742938202018,394
"yes",7248,"debit",39,29,136,"yes","good","yes",40,7.47579102147086,2018-05-18,2018-05-21,2018-05-26,13,"GPRS",1.97187250758553,410
"yes",12019,"debit",24,30,137,"yes","good","yes",149,12.6900115507592,2018-04-15,2018-04-16,2018-04-25,3,"GPRS",2.62040148536292,410
"yes",8751,"credit",14,42,138,"yes","good","yes",55,11.3999383703112,2018-04-26,2018-04-28,2018-05-05,87,"GPRS",2.08775363069072,382
"yes",1183,"debit",27,94,139,"yes","good","yes",47,9.48429235830487,2018-11-23,2018-11-26,2018-12-01,49,"GPRS",3.63959049486961,383
"yes",1262,"online",56,32,140,"yes","good","no",175,9.50732326241754,2018-09-19,2018-09-21,2018-09-27,98,"GPRS",4.65310255713161,382
"yes",8546,"debit",15,9,141,"yes","good","yes",170,14.9368856364501,2018-06-29,2018-07-04,2018-07-09,88,"GPRS",3.46578924600906,406
"yes",8172,"online",22,96,142,"no","good","no",14,9.41355255203888,2018-04-07,2018-04-10,2018-04-17,12,"GPRS",3.1946330043151,400
"yes",12490,"online",82,96,143,"yes","good","no",193,12.0109778442306,2018-04-05,2018-04-07,2018-04-14,79,"RFID",2.67182490276161,409
"yes",437,"debit",24,21,144,"yes","good","no",124,11.4724532471032,2018-04-27,2018-05-01,2018-05-03,46,"GPRS",3.56921056550858,372
"yes",6063,"online",15,50,145,"no","good","yes",29,10.645555004108,2018-08-03,2018-08-06,2018-08-13,30,"RFID",3.2273448857561,375
"yes",4735,"debit",85,98,146,"yes","good","yes",18,10.3971698634267,2018-05-16,2018-05-17,2018-05-26,37,"GPRS",2.18412748106177,385
"yes",10044,"credit",37,79,147,"yes","bad","yes",75,9.54284858545044,2018-12-12,2018-12-17,2018-12-21,62,"GPRS",2.78726329966727,389
"yes",4109,"debit",27,66,148,"yes","good","yes",145,11.8452077562124,2018-09-04,2018-09-05,2018-09-12,30,"RFID",3.07557531210502,396
"yes",7311,"online",47,11,149,"yes","good","yes",54,7.98821021480548,2018-08-05,2018-08-10,2018-08-12,5,"GPRS",2.89116392792144,385
"yes",8741,"cash",36,9,150,"yes","good","yes",40,7.47894635988574,2018-11-08,2018-11-12,2018-11-16,93,"GPRS",3.33852710378964,401
"yes",11091,"cash",58,79,151,"yes","good","yes",15,11.0044499002324,2018-03-04,2018-03-09,2018-03-12,77,"RFID",2.96047047587148,400
"yes",5158,"debit",45,26,152,"yes","good","yes",134,10.1668482243911,2018-07-17,2018-07-19,2018-07-26,86,"GPRS",3.12350747625284,385
"yes",7406,"credit",41,47,153,"yes","good","yes",140,9.70159861992513,2018-01-04,2018-01-05,2018-01-13,85,"GPRS",2.84649592805304,408
"yes",14738,"debit",80,64,154,"yes","bad","yes",181,12.0014115379852,2018-06-22,2018-06-26,2018-06-30,50,"GPRS",4.00242833104025,393
"yes",12495,"cash",91,46,155,"no","good","yes",168,8.99927476570196,2018-10-07,2018-10-11,2018-10-17,55,"GPRS",3.74433129727007,406
"yes",14995,"debit",40,72,156,"yes","good","yes",25,13.3178439011229,2018-01-25,2018-01-26,2018-01-31,53,"GPRS",2.85644413240616,393
"yes",1545,"online",23,51,157,"yes","good","yes",158,9.44391340706289,2018-07-19,2018-07-24,2018-07-28,27,"GPRS",2.01458414662627,390
"yes",11758,"debit",14,60,158,"yes","good","yes",80,14.6975096530572,2018-10-02,2018-10-06,2018-10-09,93,"GPRS",3.75055348719276,408
"yes",13588,"debit",32,1,159,"yes","good","no",49,9.68493704821458,2018-08-23,2018-08-26,2018-08-30,0,"GPRS",2.02361222792878,394
"yes",7443,"online",62,16,160,"no","good","no",136,6.17406688598923,2018-06-10,2018-06-14,2018-06-20,43,"GPRS",3.81974784735565,393
"no",13222,"debit",97,21,161,"no","bad","yes",30,12.4608755758571,2018-07-27,2018-08-01,2018-08-03,40,"GPRS",3.96879334609674,391
"no",5530,"cash",21,88,162,"yes","good","yes",199,7.10861170642708,2018-10-12,2018-10-15,2018-10-19,0,"RFID",2.70066959113332,376
"yes",9313,"debit",58,81,163,"yes","good","no",11,9.07337537149297,2018-07-20,2018-07-22,2018-07-30,13,"GPRS",2.41404301639826,396
"yes",3980,"online",70,62,164,"yes","good","no",159,9.94088642432033,2018-07-31,2018-08-05,2018-08-10,89,"RFID",2.7606709475185,387
"yes",14576,"cash",76,47,165,"yes","good","no",179,9.12488834940027,2018-07-31,2018-08-05,2018-08-08,69,"RFID",3.38477070817163,406
"yes",11498,"online",65,54,166,"no","good","no",100,9.00552979566074,2018-08-26,2018-08-30,2018-09-05,29,"GPRS",3.50105774119723,379
"yes",4516,"cash",98,22,167,"no","good","yes",124,6.97294612914056,2018-07-30,2018-08-04,2018-08-09,61,"GPRS",4.31119326178733,386
"yes",13986,"cash",64,58,168,"yes","good","yes",40,7.27573459713153,2018-06-29,2018-06-30,2018-07-05,94,"GPRS",1.71252453518119,372
"yes",1402,"cash",64,49,169,"yes","good","yes",44,10.6490964758324,2018-03-14,2018-03-19,2018-03-24,13,"GPRS",3.42495124227703,372
"yes",12584,"online",53,4,170,"yes","good","yes",195,6.08605173856631,2018-06-02,2018-06-04,2018-06-11,83,"RFID",3.78090149609736,388
"yes",7879,"credit",20,14,171,"yes","bad","yes",48,11.5443057700306,2018-07-28,2018-07-31,2018-08-04,30,"GPRS",3.9806907746055,396
"yes",10413,"cash",86,79,172,"yes","good","yes",65,10.732477956098,2018-04-10,2018-04-11,2018-04-19,59,"RFID",2.54592408737375,375
"yes",4971,"credit",37,34,173,"yes","good","yes",161,15.2105218812787,2018-09-01,2018-09-05,2018-09-08,47,"RFID",2.82189490956697,381
"yes",7677,"cash",20,39,174,"no","good","yes",31,10.4553553994558,2018-06-18,2018-06-20,2018-06-25,7,"RFID",3.1393070226679,401
"yes",9555,"debit",41,85,175,"yes","good","yes",68,10.0655433766546,2018-03-17,2018-03-21,2018-03-24,95,"RFID",2.13233422368714,405
"yes",13380,"online",79,21,176,"yes","good","no",140,8.77203742596381,2018-08-20,2018-08-22,2018-08-28,5,"RFID",3.12956670191139,380
"yes",8052,"online",36,60,177,"yes","good","yes",103,8.86490883246091,2018-11-13,2018-11-15,2018-11-20,76,"RFID",2.02097791114771,400
"yes",758,"debit",68,79,178,"yes","good","yes",31,9.22892698487346,2018-02-18,2018-02-23,2018-02-27,58,"RFID",4.27920424385926,380
"yes",3459,"cash",64,31,179,"yes","good","yes",100,15.037199003739,2018-01-14,2018-01-17,2018-01-21,49,"GPRS",2.55998590773222,379
"yes",7776,"credit",48,33,180,"yes","good","yes",198,12.1129061622887,2018-02-15,2018-02-17,2018-02-24,26,"RFID",2.69333676043243,384
"no",1132,"cash",98,66,181,"yes","good","yes",117,10.5724876261273,2018-04-23,2018-04-28,2018-05-01,52,"GPRS",1.77493794001493,384
"yes",4699,"online",54,2,182,"yes","good","yes",116,8.92451350142044,2018-10-30,2018-11-04,2018-11-05,0,"GPRS",2.81266281243144,392
"yes",13082,"online",33,44,183,"no","good","no",176,15.0701693627199,2018-10-07,2018-10-09,2018-10-16,5,"GPRS",3.09653512374951,382
"yes",7612,"online",73,55,184,"no","good","yes",68,8.13573341712418,2018-06-01,2018-06-06,2018-06-08,73,"GPRS",3.22538293056532,380
"yes",4956,"online",16,99,185,"yes","good","no",191,7.84799720069888,2018-03-16,2018-03-20,2018-03-26,62,"GPRS",3.93531003620449,389
"yes",803,"online",61,67,186,"yes","good","no",183,12.1380643001717,2018-06-26,2018-06-28,2018-07-02,68,"GPRS",3.07377871159429,384
"yes",1596,"credit",45,75,187,"yes","good","yes",31,7.70312359549374,2018-01-17,2018-01-19,2018-01-24,98,"RFID",3.9168624632765,401
"yes",14724,"cash",31,23,188,"yes","good","yes",136,11.6079728428181,2018-06-05,2018-06-10,2018-06-11,22,"RFID",2.61211839195159,403
"yes",822,"cash",83,85,189,"yes","good","yes",198,11.3942920545303,2018-07-15,2018-07-19,2018-07-24,54,"RFID",2.74924770780324,401
"yes",12836,"credit",73,83,190,"yes","good","yes",170,11.6778275097308,2018-12-04,2018-12-06,2018-12-12,11,"GPRS",4.88522313367351,383
"yes",13366,"debit",20,41,191,"yes","good","yes",132,9.47474908142693,2018-02-26,2018-02-27,2018-03-05,79,"GPRS",4.54560301417089,375
"yes",7959,"cash",10,94,192,"yes","bad","yes",198,7.59182572136565,2018-11-14,2018-11-16,2018-11-23,45,"GPRS",2.62173713007554,403
"yes",12213,"online",47,99,193,"yes","good","yes",36,10.0654946921687,2018-07-31,2018-08-04,2018-08-10,39,"GPRS",1.47389921675383,372
"yes",2187,"online",47,3,194,"yes","good","yes",0,8.14253247896825,2018-07-18,2018-07-23,2018-07-24,12,"GPRS",3.63607014353608,390
"yes",3552,"cash",62,49,195,"yes","good","yes",26,10.5960105171625,2018-07-11,2018-07-12,2018-07-18,78,"RFID",3.21531074247249,399
"yes",3366,"online",91,79,196,"yes","good","no",108,10.1688935501326,2018-02-01,2018-02-02,2018-02-09,10,"GPRS",2.67404579769908,410
"yes",14758,"debit",61,18,24,"yes","good","yes",25,6.64875646515769,2018-03-01,2018-03-05,2018-03-11,65,"GPRS",2.37066676471142,379
"yes",12780,"debit",81,82,25,"no","good","yes",97,7.5003531810833,2018-12-07,2018-12-11,2018-12-16,28,"RFID",4.44110473222413,410
"yes",10303,"online",35,66,26,"yes","good","yes",104,10.5654758010263,2018-04-02,2018-04-03,2018-04-09,62,"GPRS",3.33043354814984,384
"yes",3081,"cash",74,82,27,"no","good","yes",59,8.49400218491841,2018-07-26,2018-07-30,2018-08-05,51,"GPRS",3.68356866336266,371
"yes",7447,"cash",79,85,28,"yes","bad","yes",115,13.0069527239357,2018-10-14,2018-10-16,2018-10-20,67,"GPRS",3.94647781758987,403
"yes",13426,"cash",54,23,29,"yes","good","no",163,7.45652432993338,2018-10-02,2018-10-06,2018-10-09,19,"RFID",2.60108125225043,374
"yes",8967,"online",39,20,30,"yes","good","yes",14,15.8733691609913,2018-06-22,2018-06-27,2018-06-30,11,"GPRS",3.1880098775933,383
"yes",6787,"debit",48,63,31,"yes","good","yes",29,9.33350528311363,2018-06-09,2018-06-10,2018-06-16,95,"GPRS",2.23069388566836,387
"yes",6664,"cash",48,55,32,"yes","good","yes",75,12.2373258418646,2018-04-02,2018-04-04,2018-04-12,37,"GPRS",1.84603075423176,391
"yes",6376,"debit",93,77,33,"yes","good","yes",48,11.4524220334644,2018-10-01,2018-10-05,2018-10-09,11,"GPRS",2.80801428078755,394
"yes",4311,"cash",10,26,34,"no","good","yes",63,10.262609605613,2018-09-05,2018-09-10,2018-09-11,98,"GPRS",2.9995128744663,390
"yes",7337,"cash",96,70,35,"yes","good","yes",145,11.6643552205285,2018-11-27,2018-12-01,2018-12-04,27,"GPRS",2.21072401050707,370
"no",767,"online",96,92,36,"yes","good","no",17,6.55771747563705,2018-07-29,2018-08-02,2018-08-04,24,"GPRS",2.71490690495767,409
"yes",5626,"credit",48,72,37,"yes","good","yes",144,9.38052395628606,2018-08-08,2018-08-10,2018-08-18,26,"RFID",1.29490812218958,410
"yes",6326,"online",60,92,38,"yes","good","yes",59,10.58619652906,2018-07-13,2018-07-18,2018-07-22,25,"GPRS",2.96897088784678,408
"yes",11658,"debit",39,46,39,"yes","bad","yes",40,10.7492458816,2018-08-27,2018-09-01,2018-09-05,37,"GPRS",2.59860907883306,374
"yes",10843,"debit",76,21,40,"yes","good","yes",71,11.744426204924,2018-07-14,2018-07-15,2018-07-23,24,"GPRS",2.89002830389994,389
"yes",5724,"credit",26,20,41,"yes","good","no",109,11.2795762979284,2018-08-24,2018-08-29,2018-09-01,14,"RFID",2.6122925609828,380
"yes",10935,"cash",79,40,42,"yes","good","yes",46,8.45260134657257,2018-09-11,2018-09-12,2018-09-18,27,"GPRS",4.86987720902774,394
"yes",8806,"credit",21,73,43,"yes","good","yes",152,6.56397921041562,2018-10-18,2018-10-22,2018-10-26,66,"GPRS",3.8651773416004,408
"yes",6549,"cash",36,1,44,"no","good","no",124,11.2213687804623,2018-12-06,2018-12-11,2018-12-14,35,"RFID",2.59913340647251,380
"yes",9237,"debit",72,95,45,"no","good","yes",151,11.5856361394802,2018-06-06,2018-06-09,2018-06-15,10,"GPRS",2.55810560094185,384
"yes",3844,"cash",22,24,46,"yes","good","yes",196,6.62950617629306,2018-03-31,2018-04-04,2018-04-09,78,"GPRS",3.26004720734053,387
"yes",5518,"debit",10,10,47,"yes","good","yes",176,9.58917708582117,2018-04-04,2018-04-06,2018-04-12,30,"GPRS",3.40167120438153,379
"no",6450,"debit",70,43,48,"yes","bad","yes",181,6.68291518424376,2018-03-12,2018-03-17,2018-03-19,22,"GPRS",3.15727824954215,407
"yes",9216,"cash",84,28,49,"yes","good","yes",11,12.3391621956514,2018-08-13,2018-08-17,2018-08-21,72,"GPRS",4.26075600582077,406
"yes",1319,"credit",29,1,50,"yes","good","yes",166,11.5172851967088,2018-05-10,2018-05-14,2018-05-16,57,"GPRS",2.35842072839192,400
"yes",2586,"online",24,60,51,"no","good","yes",148,7.66323183854636,2018-06-02,2018-06-07,2018-06-11,92,"GPRS",2.06580716135645,386
"yes",8112,"online",75,83,52,"yes","good","no",172,9.99651443741028,2018-07-24,2018-07-25,2018-07-30,45,"GPRS",4.03771884144127,385
"yes",775,"online",97,10,53,"yes","good","yes",143,12.7316806593426,2018-07-24,2018-07-25,2018-07-30,12,"GPRS",2.93636129449933,383
"yes",5401,"credit",77,77,54,"yes","good","yes",192,11.4544129131491,2018-06-02,2018-06-04,2018-06-09,10,"GPRS",2.53896607213986,391
"yes",13079,"online",22,13,55,"yes","good","yes",60,9.15884117657214,2018-03-06,2018-03-09,2018-03-16,37,"GPRS",2.85254253840331,387
"yes",9644,"online",39,33,56,"yes","good","yes",20,14.6421056838541,2018-05-07,2018-05-12,2018-05-14,87,"RFID",2.31613750670407,406
"yes",6912,"debit",73,27,57,"no","good","yes",152,11.0067490676341,2018-09-29,2018-10-04,2018-10-05,10,"RFID",2.54159736228794,382
"yes",8036,"online",63,75,58,"yes","good","yes",12,9.59303138121021,2018-10-31,2018-11-04,2018-11-06,99,"GPRS",1.95703196383658,379
"yes",12679,"debit",81,57,59,"yes","good","yes",169,9.00889464196548,2018-01-20,2018-01-23,2018-01-28,84,"GPRS",3.44441658305398,395
"yes",1758,"debit",89,42,60,"yes","good","yes",162,10.4334285754106,2018-07-08,2018-07-09,2018-07-14,39,"GPRS",3.20589385291417,396
"yes",569,"debit",64,27,61,"yes","good","yes",31,9.69445955581284,2018-06-16,2018-06-20,2018-06-25,66,"GPRS",3.04910652754044,370
"yes",13748,"debit",55,49,62,"yes","good","yes",96,10.4702387238862,2018-08-20,2018-08-21,2018-08-30,53,"RFID",2.50446549678538,381
"no",6244,"online",94,66,63,"yes","good","no",13,10.3455583899672,2018-12-09,2018-12-11,2018-12-16,35,"GPRS",2.95544105822699,378
"yes",14788,"cash",26,98,64,"yes","good","yes",7,14.1101737523335,2018-09-26,2018-09-28,2018-10-05,94,"GPRS",4.19668970082246,376
"yes",137,"online",43,51,65,"no","good","no",51,9.04190136272626,2018-01-31,2018-02-05,2018-02-07,31,"GPRS",3.40556440691767,373
"yes",1262,"online",80,80,66,"yes","good","yes",149,10.4399093950287,2018-07-07,2018-07-10,2018-07-14,48,"GPRS",3.97398542206736,407
"no",3731,"debit",39,38,67,"yes","good","no",127,11.858753046749,2018-04-27,2018-04-28,2018-05-07,15,"GPRS",2.66847294123838,389
"yes",4986,"cash",30,64,68,"yes","good","yes",146,9.38040747802082,2018-01-04,2018-01-08,2018-01-12,8,"RFID",2.78206574374887,380
"yes",9518,"debit",29,85,69,"no","good","yes",66,11.4567223558303,2018-02-04,2018-02-08,2018-02-11,49,"RFID",2.8136720960168,373
"yes",119,"cash",27,34,70,"yes","bad","yes",103,10.3689145238088,2018-06-18,2018-06-21,2018-06-28,55,"RFID",2.71912987525827,392
"yes",9762,"debit",60,51,71,"yes","good","yes",78,7.86316286706093,2018-06-18,2018-06-21,2018-06-24,44,"RFID",2.98351686224211,391
"yes",1858,"debit",64,22,72,"yes","good","yes",166,8.34721817037455,2018-04-25,2018-04-29,2018-05-05,33,"GPRS",3.80568127949362,376
"yes",3245,"online",90,70,73,"yes","good","yes",33,13.9394866000673,2018-09-17,2018-09-21,2018-09-23,17,"GPRS",2.44807141213114,401
"yes",10296,"cash",89,27,74,"yes","good","no",24,6.90376319753918,2018-10-03,2018-10-07,2018-10-11,98,"GPRS",3.50456374367497,371
"yes",2520,"debit",67,35,75,"yes","good","no",59,13.4063270581313,2018-05-26,2018-05-28,2018-06-03,49,"RFID",4.1962758883345,388
"yes",4078,"credit",21,68,76,"no","bad","yes",143,11.5684373363366,2018-04-28,2018-05-01,2018-05-04,30,"GPRS",4.07456824686762,385
"yes",11355,"cash",19,38,77,"no","good","yes",24,8.60266189564565,2018-05-23,2018-05-26,2018-05-30,85,"GPRS",3.06066923249649,389
"yes",13770,"cash",69,76,78,"yes","good","yes",9,7.47761865980409,2018-11-01,2018-11-06,2018-11-09,44,"GPRS",2.57589007787958,376
"yes",5739,"cash",44,56,79,"yes","good","yes",142,8.20968658082916,2018-06-30,2018-07-04,2018-07-08,13,"GPRS",3.68319096580049,410
"yes",744,"cash",90,76,80,"yes","good","yes",189,5.76527221960257,2018-09-06,2018-09-07,2018-09-14,2,"GPRS",2.79172014620944,377
"yes",11053,"credit",15,31,81,"yes","good","yes",59,9.53959377333658,2018-08-12,2018-08-16,2018-08-21,15,"GPRS",2.33679207097251,373
"yes",4962,"credit",46,41,82,"yes","good","yes",60,9.74238593281046,2018-09-24,2018-09-29,2018-10-01,76,"RFID",3.48296960944181,376
"no",10679,"cash",77,85,83,"yes","good","yes",120,10.0240317123062,2018-06-21,2018-06-24,2018-06-30,2,"GPRS",2.35900966254853,382
"yes",8513,"debit",100,21,84,"yes","good","yes",2,9.48206476486533,2018-01-31,2018-02-02,2018-02-06,29,"RFID",2.90951577783123,379
"yes",1203,"online",89,8,85,"yes","good","yes",97,13.3933123448454,2018-09-25,2018-09-28,2018-10-03,64,"GPRS",1.97227983226601,404
"yes",959,"debit",19,46,86,"yes","good","no",42,8.11248913139263,2018-04-17,2018-04-19,2018-04-24,95,"GPRS",3.98677494629106,403
"yes",2658,"debit",83,23,87,"yes","good","yes",153,9.1114975250632,2018-03-17,2018-03-18,2018-03-26,66,"GPRS",2.47591735554453,392
"yes",11320,"cash",50,65,88,"yes","good","yes",6,11.4359434181467,2018-01-06,2018-01-09,2018-01-12,66,"GPRS",2.94789450962358,395
"no",6494,"cash",81,47,89,"yes","good","no",96,9.63945219283756,2018-03-14,2018-03-18,2018-03-24,44,"GPRS",3.02621400237959,376
"no",12363,"cash",61,34,90,"no","good","yes",39,9.79463825699481,2018-01-25,2018-01-26,2018-02-01,19,"GPRS",3.42795799811423,400
"yes",14102,"online",76,78,91,"yes","good","yes",33,11.5845067938456,2018-02-10,2018-02-11,2018-02-18,83,"GPRS",3.29553275993941,389
"yes",1740,"online",29,36,92,"yes","good","yes",85,11.1930999955573,2018-04-02,2018-04-04,2018-04-10,67,"GPRS",2.15782922342965,409
